date,return_historical_best,return_online_conservative,return_csi300,net_value_historical_best,net_value_online_conservative,net_value_csi300,drawdown_historical_best,drawdown_online_conservative,drawdown_csi300
2019-08-09,-0.0020809602,-0.0049650930,-0.0097468368,1.1655988444,1.1251555918,1.2236020118,-0.0545379384,-0.1341850636,-0.1182054003
2019-08-12,0.0209203932,0.0149061261,0.0180471932,1.1899836305,1.1419273029,1.2456845937,-0.0347585003,-0.1212791170,-0.1022914828
2019-08-13,-0.0194940934,-0.0166816114,-0.0090165078,1.1667859785,1.1228781155,1.2344528689,-0.0535750082,-0.1359375973,-0.1103856786
2019-08-14,-0.0048361446,-0.0064828153,0.0045420434,1.1611432328,1.1155987040,1.2400598073,-0.0581520563,-0.1415391543,-0.1063450118
2019-08-15,0.0078564351,0.0093636432,0.0031498471,1.1702656792,1.1260447723,1.2439658061,-0.0507524891,-0.1335008332,-0.1035301352
2019-08-16,-0.0017250029,-0.0009568773,0.0044769897,1.1682469675,1.1249672856,1.2495350282,-0.0523899438,-0.1343299666,-0.0995166489
2019-08-19,0.0202484488,0.0263894656,0.0217100593,1.1919021564,1.1546545710,1.2766625078,-0.0332023101,-0.1114853970,-0.0799671019
2019-08-20,0.0114516154,0.0082993860,-0.0008868153,1.2055513615,1.1642374950,1.2755303440,-0.0221309148,-0.1041112714,-0.0807830011
2019-08-21,-0.0114320676,0.0003678222,-0.0015774611,1.1917694169,1.1646657275,1.2735182444,-0.0333099803,-0.1037817436,-0.0822330302
2019-08-22,-0.0083364819,-0.0044353750,0.0031067570,1.1818342527,1.1594999982,1.2774747561,-0.0413687741,-0.1077568076,-0.0793817513
2019-08-23,0.0155825851,0.0009693949,0.0072115347,1.2002502856,1.1606240116,1.2866873096,-0.0264308215,-0.1068918716,-0.0727426809
2019-08-26,-0.0117304264,-0.0024294788,-0.0143823529,1.1861708380,1.1578043002,1.2681817187,-0.0378512030,-0.1090616589,-0.0860788229
2019-08-27,0.0057743620,0.0070138757,0.0135518374,1.1930202178,1.1659249956,1.2853679111,-0.0322954076,-0.1028127281,-0.0736935117
2019-08-28,-0.0163724494,-0.0199587497,-0.0037624330,1.1734875546,1.1426545905,1.2805318004,-0.0481391021,-0.1207194643,-0.0771786778
2019-08-29,-0.0188808144,-0.0257314874,-0.0032604145,1.1513311538,1.1132523882,1.2763567360,-0.0661110111,-0.1433446603,-0.0801874578
